Indice;Film;Oscar Year;Film Studio/Producer(s);Award;Year of Release;Movie Time;Movie Genre;Tomatometer Status;Tomatometer Rating;Tomatometer Count;Audience Status;Audience Rating;Audience Count
499;Lincoln;2012;Steven Spielberg and Kathleen Kennedy;Nominee;2011;118;Crime,Drama,Mystery;;;;;;
500;Les MisÃ©rables;2012;Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh;Nominee;2012;158;Drama,History,Musical;Fresh;69.0;255.0;Upright;79.0;265259.0
501;Silver Linings Playbook;2012;Donna Gigliotti, Bruce Cohen, and Jonathan Gordon;Nominee;2012;122;Comedy,Drama,Romance;Certified-Fresh;92.0;256.0;Upright;86.0;260499.0
502;Zero Dark Thirty;2012;Mark Boal, Kathryn Bigelow, and Megan Ellison;Nominee;2012;157;Drama,History,Thriller;;;;;;
503;12 Years a Slave;2013;Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas;Winner;2013;134;Biography,Drama,History;Certified-Fresh;95.0;365.0;Upright;90.0;140313.0
504;American Hustle;2013;Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon;Nominee;2013;138;Crime,Drama;Certified-Fresh;92.0;289.0;Upright;74.0;175937.0
505;Captain Phillips;2013;Scott Rudin, Dana Brunetti, and Michael De Luca;Nominee;2013;134;Adventure,Biography,Crime;Certified-Fresh;93.0;274.0;Upright;89.0;152496.0
506;Dallas Buyers Club;2013;Robbie Brenner and Rachel Winter;Nominee;2013;117;Biography,Drama;Certified-Fresh;93.0;257.0;Upright;91.0;92788.0
507;Gravity;2013;Alfonso CuarÃ³n and David Heyman;Nominee;2013;91;Drama,Sci-Fi,Thriller;Certified-Fresh;96.0;354.0;Upright;80.0;303162.0
508;Her;2013;Megan Ellison, Spike Jonze, and Vincent Landay;Nominee;2013;126;Drama,Romance,Sci-Fi;Certified-Fresh;95.0;278.0;Upright;82.0;101535.0
509;Nebraska;2013;Albert Berger and Ron Yerxa;Nominee;2013;115;Adventure,Comedy,Drama;Certified-Fresh;91.0;247.0;Upright;83.0;44798.0
510;Philomena;2013;Gabrielle Tana, Steve Coogan, and Tracey Seaward;Nominee;2013;98;Biography,Comedy,Drama;Certified-Fresh;90.0;198.0;Upright;89.0;52399.0
